,Address,Link,Rent,Bed,Bath
0,"6561 Del Playa, 2, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/ffc269bd-2bbe-42b3-a99f-c0b0fe460d30,8000.0,3.0,2.0
1,"6525 Del Playa - 2, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/01d58c2b-20bd-4325-bd31-a47cb62b6c44,-1.0,3.0,2.0
2,"6535 El Nido, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/14d34829-fbbb-4360-b8ed-becd67de1b93,11000.0,3.0,2.5
3,"6885 Pasado, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/0f7df5c9-961d-42de-b66d-b873a2647347,8500.0,5.0,3.0
4,"6575 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/a4671107-ea44-4870-bef9-3c9ea6891f62,-1.0,5.0,4.0
5,"6709 Del Playa, B, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/1ba8a289-f5db-4a92-ae06-706db1739676,5750.0,2.0,1.0
6,"6709 Del Playa, A, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/940e5b2d-b6cd-4f5c-bb6a-3052d09287e6,5750.0,2.0,1.0
7,"6633 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/ccd5e754-2d44-4e74-ba58-f67fdac90a91,18500.0,4.0,3.0
8,"6679 Del Playa, B, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/72e04fe2-0dbf-4f70-b569-f05208579e1f,8500.0,3.0,2.0
9,"6665 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/4f63ca15-ae84-4313-98ba-047e26912dc4,-1.0,6.0,4.0
10,"6555 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/762dc6fa-0d4c-40dc-a546-bcc4f4c262a9,5500.0,1.0,1.0
11,"6567 Del Playa, Goleta, CA 93117",https://www.playalifeiv.com/listings/detail/a081ee6a-63ce-4861-bdca-800e29c55039,-1.0,3.0,4.0
